epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,664.761,0.99172,0.49046,0.00137,0.88001,0.87956,0.94357,0.74879,0.79497,0.43752,0.00174,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,684.942,0.98478,0.49414,0.00132,0.88032,0.88844,0.94089,0.71188,0.9411,0.47549,0.002,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,705.108,0.96307,0.47867,0.00139,0.86311,0.89482,0.9404,0.67229,1.10158,0.50225,0.00251,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,725.366,0.98462,0.49443,0.00136,0.88005,0.87554,0.93975,0.71326,0.92509,0.45912,0.00188,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,747.306,0.96549,0.47814,0.00138,0.88733,0.88981,0.94481,0.73534,0.85136,0.44047,0.00171,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,767.764,0.98576,0.47597,0.00132,0.88073,0.89469,0.94518,0.70669,0.96295,0.47792,0.00196,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,788.03,0.96256,0.46687,0.00135,0.90458,0.87707,0.94743,0.67837,1.06535,0.4809,0.00238,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,808.21,0.955,0.47463,0.00138,0.87703,0.8945,0.94534,0.77013,0.72594,0.42446,0.00147,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,828.706,0.95022,0.47132,0.00136,0.8797,0.90453,0.95011,0.74315,0.85884,0.43653,0.00172,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,849.043,0.94002,0.46366,0.00129,0.88299,0.8997,0.94947,0.70136,0.99276,0.46732,0.00219,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,869.966,0.93396,0.45865,0.00133,0.90825,0.87856,0.94744,0.71808,0.94745,0.45672,0.0022,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,891.098,0.93417,0.45946,0.00131,0.89535,0.89184,0.9492,0.7721,0.7146,0.40444,0.00142,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,912.351,0.93904,0.45452,0.00127,0.89728,0.88884,0.94757,0.77078,0.7029,0.39664,0.00139,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,932.722,0.90471,0.46279,0.00128,0.90053,0.88188,0.94706,0.71555,0.92754,0.46391,0.00198,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,953.151,0.90338,0.44816,0.00126,0.88376,0.89184,0.94819,0.72833,0.89978,0.45169,0.00201,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,973.575,0.89589,0.44869,0.00125,0.91149,0.88187,0.94801,0.74806,0.80518,0.41213,0.0018,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,994.217,0.91275,0.45484,0.00123,0.90286,0.87232,0.94881,0.77956,0.68183,0.39484,0.0014,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1014.57,0.89628,0.43568,0.00121,0.88421,0.89673,0.9497,0.75249,0.81497,0.41625,0.00176,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1034.95,0.87263,0.43344,0.0012,0.86776,0.89895,0.94808,0.75216,0.7994,0.42144,0.0017,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1055.13,0.89521,0.43377,0.00125,0.89401,0.8934,0.94787,0.77962,0.67546,0.39341,0.00129,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1075.48,0.88986,0.42732,0.0012,0.87272,0.90302,0.94796,0.79292,0.64281,0.37208,0.00123,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1095.61,0.84979,0.41718,0.00119,0.89886,0.89904,0.95243,0.76644,0.77911,0.39744,0.00165,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1116.02,0.86255,0.42335,0.00118,0.87204,0.91551,0.94932,0.76434,0.77036,0.39858,0.00157,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1136.22,0.86929,0.42078,0.00118,0.88339,0.88469,0.94626,0.78848,0.63678,0.38123,0.00123,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1156.58,0.85133,0.42081,0.00113,0.88034,0.9009,0.95078,0.79487,0.64466,0.36086,0.00126,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1176.54,0.84799,0.42026,0.00116,0.88569,0.88718,0.94955,0.77793,0.71605,0.38856,0.00152,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1196.77,0.83345,0.41662,0.00117,0.88812,0.88934,0.94827,0.77694,0.71459,0.38631,0.00146,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1217.4,0.8378,0.39915,0.0011,0.88271,0.89289,0.9483,0.78827,0.65134,0.37116,0.00127,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1239.82,0.85147,0.40794,0.00112,0.89966,0.89405,0.95165,0.78863,0.67762,0.37277,0.00136,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1260.98,0.82383,0.40643,0.0011,0.89593,0.89257,0.95099,0.79218,0.65198,0.37074,0.00132,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1282.1,0.82584,0.40732,0.00113,0.89498,0.88619,0.94972,0.78856,0.67317,0.37102,0.00135,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1302.81,0.82899,0.40897,0.0011,0.8914,0.88846,0.94975,0.79911,0.62129,0.37154,0.0012,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1323.34,0.80825,0.39215,0.00105,0.9114,0.87047,0.95092,0.80088,0.60948,0.36185,0.00116,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1343.71,0.81095,0.39868,0.00105,0.89416,0.88356,0.95305,0.79183,0.65356,0.37795,0.00126,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1364.26,0.79375,0.39708,0.00106,0.90659,0.87872,0.9513,0.79528,0.63554,0.35978,0.00125,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1384.95,0.79366,0.39269,0.00105,0.90065,0.88185,0.95188,0.79988,0.63001,0.365,0.00127,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,1405.88,0.77597,0.38498,0.00101,0.90358,0.88492,0.9527,0.79647,0.63545,0.36231,0.00124,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,1426.4,0.77703,0.38419,0.00105,0.91789,0.86818,0.95353,0.80399,0.61415,0.35746,0.00117,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1447.05,0.79623,0.39234,0.00101,0.89136,0.8974,0.95333,0.80499,0.60927,0.3527,0.00119,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1467.47,0.77246,0.39185,0.00102,0.89745,0.88908,0.95443,0.80199,0.62845,0.36497,0.00121,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,1487.7,0.78057,0.38831,0.00101,0.88261,0.91364,0.95524,0.80367,0.61789,0.3504,0.00116,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,1507.93,0.76481,0.37504,0.00097,0.88582,0.90772,0.95648,0.80672,0.6223,0.35347,0.00125,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,1528.04,0.74721,0.37456,0.001,0.89167,0.90256,0.95427,0.80614,0.61732,0.3567,0.00115,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,1548.06,0.76326,0.38372,0.00104,0.89306,0.88898,0.95414,0.80272,0.61999,0.36281,0.00121,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,1568.56,0.77228,0.37843,0.00097,0.90604,0.8919,0.95481,0.81159,0.61466,0.34793,0.00117,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,1589.89,0.75998,0.38,0.00097,0.90847,0.88531,0.95517,0.8109,0.60447,0.33971,0.00117,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
